index,price,brand,model,year,title_status,mileage,color,vin
767,22500,chevrolet,van,2019,clean vehicle,9019,white,  1gcwgafg3k1232427
768,10200,chevrolet,malibu,2018,clean vehicle,45836,white,  1g1zd5stxjf175198
769,42700,chevrolet,3500,2016,clean vehicle,60215,white,  1gc4k1e88gf118806
770,21200,chevrolet,tahoe,2015,clean vehicle,125507,white,  1gnscckc9fr715640
771,22700,chevrolet,door,2016,clean vehicle,90944,white,  1gnscbkc6gr432916
772,22000,chevrolet,tahoe,2015,clean vehicle,82785,gray,  1gnscakc0fr161697
773,9600,chevrolet,1500,2014,clean vehicle,150525,white,  3gcpcpeh2eg231868
774,10500,chevrolet,door,2013,clean vehicle,112267,silver,  1gcrcrea5dz179299
775,6700,chevrolet,door,2013,clean vehicle,139394,white,  1gb3czcg3df161404
776,14200,chevrolet,door,2013,clean vehicle,82543,black,  3gcpcse09dg282246
777,15500,chevrolet,equinox,2019,clean vehicle,13532,white,  2gnaxkev1k6296972
778,35100,chevrolet,1500,2018,clean vehicle,14751,blue,  3gcukrec2jg216609
779,26300,chevrolet,camaro,2018,clean vehicle,11150,gray,  1g1fb1rx5j0103693
780,15700,chevrolet,colorado,2016,clean vehicle,91248,white,  1gcgtce36g1387412
781,17600,chevrolet,1500,2016,clean vehicle,65336,white,  1gcvkneh3gz336629
782,18600,chevrolet,1500,2016,clean vehicle,48974,white,  1gcvkneh7gz158854
783,19100,chevrolet,1500,2016,clean vehicle,40011,white,  1gcvkneh1gz235878
784,15200,chevrolet,equinox,2019,clean vehicle,37444,black,  2gnaxkev2k6183550
785,16100,chevrolet,equinox,2019,clean vehicle,43199,white,  2gnaxuev0k6196714
786,14800,chevrolet,equinox,2019,clean vehicle,43589,charcoal,  2gnaxkevxk6199639
787,16700,chevrolet,equinox,2019,clean vehicle,32870,charcoal,  2gnaxuev8k6190062
788,15300,chevrolet,equinox,2019,clean vehicle,38826,charcoal,  2gnaxkev7k6197637
789,16500,chevrolet,equinox,2019,clean vehicle,33739,charcoal,  2gnaxuev3k6169765
790,19600,chevrolet,passenger,2019,clean vehicle,35309,white,  1gazgpfgxk1197071
791,15200,chevrolet,impala,2019,clean vehicle,32248,red,  1g11z5sa4ku113760
792,15000,chevrolet,impala,2019,clean vehicle,36165,silver,  1g11z5sa7ku117222
793,15500,chevrolet,impala,2019,clean vehicle,29922,charcoal,  2g11z5saxk9120208
794,15700,chevrolet,impala,2019,clean vehicle,26848,silver,  2g11z5sa5k9140950
795,14800,chevrolet,impala,2019,clean vehicle,41163,charcoal,  2g11z5sa8k9139310
796,9200,chevrolet,cruze,2017,clean vehicle,32856,red,  3g1be6sm0hs561566
797,8200,chevrolet,impala,2017,clean vehicle,100315,black,  1g1105sa9hu160835
798,11400,chevrolet,door,2013,clean vehicle,91638,silver,  1gc2kvcg8dz256073
799,6500,chevrolet,door,2015,clean vehicle,83173,white,  1g11c5sl0ff208474
800,11500,chevrolet,door,2014,clean vehicle,94356,gray,  1gnkvgkd3ej113338
801,23800,chevrolet,door,2015,clean vehicle,85792,black,  1gnscbkc0fr109217
802,8900,chevrolet,door,2014,clean vehicle,129068,white,  1gnkrgkd3ej285342
803,28300,chevrolet,ld,2019,clean vehicle,27665,red,  2gcvkpec1k1124569
804,27300,chevrolet,ld,2019,clean vehicle,25427,black,  2gcvkpec4k1105269
805,3500,chevrolet,door,2013,clean vehicle,78198,gray,  1g11c5saxdf350889
806,28300,chevrolet,colorado,2020,clean vehicle,13886,silver,  1gcgtcen7l1101496
807,18300,chevrolet,impala,2019,clean vehicle,34538,silver,  2g11z5s37k9134455
808,22500,dodge,charger,2018,clean vehicle,20575,silver,  2c3cdxjg1jh292507
809,22500,dodge,charger,2018,clean vehicle,26026,gray,  2c3cdxjg4jh292503
810,8300,dodge,door,2012,clean vehicle,99015,gray,  1c6rd7ft0cs326533
811,16500,dodge,caravan,2019,clean vehicle,27327,gray,  2c4rdgeg4kr682965
812,14500,dodge,journey,2019,clean vehicle,30229,silver,  3c4pdcgg9kt700676
813,30000,dodge,charger,2019,clean vehicle,43294,white,  2c3cdxjg2kh630921
814,30000,dodge,charger,2019,clean vehicle,54309,orange,  2c3cdxjg0kh682158
